Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance
Fore	A	0103	????	B367479-B	N	Ni Pa		910		G1 V	{ +1 }	(A36-5)	[659B]		13	-900
Fore	A	0104	????	A67A7A7-C	N	Wa Pi		200		G0 V	{ +2 }	(566-3)	[599D]		6	-540
Fore	A	0202	????	B489342-D	S	Lo		500		O2 III	{ +1 }	(521+2)	[745E]		9	20
Fore	A	0203	????	E333453-8		Po Ni		33?		M4 V	{ -3 }	(B30-1)	[412C]		6	-33
Fore	A	0302	????	C100557-9		Va Ni		900		K4 V	{ -1 }	(945+3)	[A47B]		10	540
Fore	A	0304	????	C33269B-5	S	Na Po Ni Co	A	530		M0 V	{ -2 }	(750-1)	[4464]		12	-35
Fore	A	0305	????	E866123-7		Lo Ga		200		B0 Ia	{ -3 }	(701+1)	[11A4]		13	7
Fore	A	0306	????	C340227-6		Lo De Po He		420		F6 IV M4 V BD K9 V	{ -2 }	(511+0)	[1113]		10	5
Fore	A	0308	????	X210553-2		Ni Co	R	220		A9 Ia	{ -3 }	(543-1)	[4255]		11	-60
Fore	A	0309	????	C68A979-8		Hi Wa Pr Ri Co		900		M6 V BD	{ +1 }	(784-2)	[8A34]		7	-448
Fore	A	0401	????	EFB8589-3		Fl Ni Ho		800		DG BD	{ -3 }	(A43-4)	[3213]		10	-480
Fore	A	0402	????	B7A9457-B		Fl Ni		200		K4 V BD	{ +1 }	(A34-1)	[557E]		9	-120
Fore	A	0403	????	B100501-A	S	Va Ni Co Co		901		F3 V	{ +1 }	(346+1)	[664F]		9	72
Fore	A	0404	????	A8C7005-9		Fl Ho		020		G4 V BD BD M9 VI	{ +0 }	(808+1)	[0000]		11	64
Fore	A	0408	????	B310363-9		Lo		100		K4 V M5 VI BD BD	{ +0 }	(721+5)	[1394]		11	70
Fore	A	0502	????	A744221-B	N	Lo Co Tu		700		M9 V M5 VI BD BD BD	{ +1 }	(911-5)	[136C]		10	-45
Fore	A	0503	????	A467458-C	NS	Ni Pa		830		G3 III M2 V	{ +2 }	(C35-3)	[363B]		8	-540
Fore	A	0504	????	D668112-7		Lo		830		M9 II BD	{ -3 }	(901-2)	[1163]		12	-18
Fore	A	0505	????	B542841-A	N	Po He Ph Pi Ho		600		G5 V K4 V	{ +2 }	(476+0)	[8A4E]		9	168
Fore	A	0507	????	B000200-F	N	As Lo Sa		420		F8 V BD	{ +1 }	(811+2)	[533J]		12	16
Fore	A	0508	????	XDFA201-3		Lo Ho	R	800		A0 V	{ -3 }	(911+1)	[4143]		8	9
Fore	A	0604	????	E689CDF-4		Hi	R	430		F0 IV M8 VI DM	{ -1 }	(7B8+3)	[CB21]		10	1848
Fore	A	0607	????	E59A987-A		Hi Wa In Ho		600		A7 V M0 V	{ +1 }	(788-1)	[7A9E]		11	-448
Fore	A	0610	????	A586623-7	S	Ag Ni Ri		200		K9 V BD M5 VI	{ +1 }	(852-3)	[2756]		10	-240
Fore	A	0708	????	D4517BA-7		Po Co	A	110		K4 IV M6 V	{ -2 }	(766-1)	[5568]		12	-252
Fore	A	0801	????	A6B5420-D		Fl Ni Co		500		A7 II	{ +1 }	(435-4)	[653D]		7	-240
Fore	A	0807	????	C9EA99C-8		Hi Co	A	800		M4 V	{ +0 }	(787-3)	[A958]		11	-1176
Fore	A	0810	????	A400622-9	N	Va Na Ni		900		K1 V	{ +0 }	(C53-2)	[564A]		7	-360
Fore	B	0902	????	D510646-7		Na Ni		400		DM	{ -3 }	(853+0)	[9365]		3	120
Fore	B	0908	????	C544005-4				020		M6 V	{ -2 }	(708+1)	[0000]		10	56
Fore	B	0909	????	E432637-6		Na Po Ni Px		500		M7 II BD	{ -3 }	(450-1)	[7386]		8	-20
Fore	B	0910	????	B9A7567-8		Fl Ni		600		K7 V	{ -1 }	(343-2)	[7467]		5	-72
Fore	B	1007	????	D520324-7	S	Lo De Po He Co Sa		811		M1 V	{ -3 }	(921+5)	[2116]		9	90
Fore	B	1102	????	B751257-8	S	Lo Po		900		G1 V DM M7 V	{ -1 }	(811+3)	[2137]		8	24
Fore	B	1103	????	C510666-9	S	Na Ni		300		A8 V	{ -1 }	(851+0)	[7516]		9	40
Fore	B	1109	????	D576ADB-7	S	Hi In Co	R	900		K1 V	{ -1 }	(A91+0)	[E97A]		9	90
Fore	B	1205	????	AA66523-C		Ag Ni Pr		220		K5 V	{ +2 }	(A46+1)	[278C]		10	240
Fore	B	1209	????	C223004-9		Po Co		010		A5 V	{ -1 }	(905-2)	[0000]		4	-90
Fore	B	1303	????	B232632-C	S	Na Po Ni		700		M9 V BD	{ +1 }	(B55+2)	[575C]		10	550
Fore	B	1304	????	E431444-4		Po Ni Co		830		G3 V M0 V BD	{ -3 }	(731+5)	[2134]		11	105
Fore	B	1307	????	A756000-A	N	Ba Ga Di		000		K2 III M1 V	{ +1 }	(908-1)	[0000]		5	-72
Fore	B	1403	????	B465446-C		Ni Pa		300		F8 IV BD	{ +1 }	(A33-1)	[355D]		8	-90
Fore	B	1404	????	E999200-4		Lo		320		F2 V	{ -3 }	(811+3)	[1116]		9	24
Fore	B	1405	????	E110652-5		Na Ni Ho Sa		900		A2 III F9 V	{ -3 }	(750+2)	[6316]		9	70
Fore	B	1410	????	C10069A-7	S	Va Na Ni Ho		830		K8 V	{ -2 }	(853-4)	[4454]		11	-480
Fore	B	1501	????	D5A7796-7	S	Fl		710		F3 V	{ -2 }	(865-2)	[2519]		10	-480
Fore	B	1504	????	E844401-7		Ni Pa Ho Tr		720		F3 V	{ -3 }	(733-3)	[5198]		9	-189
Fore	B	1507	????	E897722-2		Ag Pi Co		301		G2 V	{ -1 }	(36B+2)	[C631]		12	396
Fore	B	1602	????	A300486-F		Va Ni		730		A5 V K3 VI	{ +1 }	(B36-1)	[153K]		13	-198
Fore	C	1701	????	D45A76B-9		Wa Sa		100		K4 V	{ -1 }	(465+3)	[B67C]		7	360
Fore	C	1703	????	B550776-5	NS	De Po Ho		600		A5 V G1 V	{ +1 }	(967+0)	[B879]		12	378
Fore	C	1704	????	C533565-A	S	Po Ni Co		111		G2 V	{ +0 }	(845+1)	[4557]		9	160
Fore	C	1804	????	B100203-A	N	Va Lo		10?		F9 IV	{ +1 }	(611+1)	[332D]		10	6
Fore	C	1806	????	E655330-7		Lo Ga		320		F7 V K4 V	{ -3 }	(521+2)	[4157]		5	20
Fore	C	1807	????	C332302-C		Lo Po		90?		B5 III	{ +0 }	(B21+0)	[734F]		10	22
Fore	C	1808	????	A110430-C		Ni		910		A1 V M2 V M0 V F1 V	{ +1 }	(536+2)	[651F]		10	180
Fore	C	1901	????	B4695A7-A	S	Ni Pr		500		F4 V	{ +1 }	(744+2)	[568B]		11	224
Fore	C	1905	????	C56687A-7		Ph Pa Ri		730		A4 IV K7 V	{ +0 }	(776-5)	[C859]		16	-1470
Fore	C	2002	????	C67A432-6		Wa Ni		800		K2 V M5 VI BD	{ -2 }	(532+2)	[6277]		9	60
Fore	C	2003	????	E110420-A		Ni		430		K9 V BD	{ -1 }	(E30-1)	[135B]		6	-42
Fore	C	2005	????	C554247-9	S	Lo		300		A9 V K0 V	{ -1 }	(A11+2)	[2128]		11	20
Fore	C	2102	????	X521510-3		Po Ni He Ho	R	400		F9 V	{ -3 }	(643+2)	[5222]		8	144
Fore	C	2103	????	B485521-A		Ag Ni Pr		930		A7 Ib	{ +2 }	(C43-2)	[475C]		8	-288
Fore	C	2202	????	X757454-4		Ni Ga Pa Ho Tr	R	300		A7 V	{ -3 }	(231-2)	[3198]		4	-12
Fore	C	2209	????	B210736-A		Na Pi Ho		300		G2 V	{ +2 }	(66D-4)	[995C]		3	-1872
Fore	C	2304	????	B420202-E		Lo De Po He		510		K0 VI BD	{ +1 }	(A11+1)	[334G]		7	10
Fore	C	2306	????	B400552-9	S	Va Ni		200		F0 V	{ +0 }	(744-4)	[3587]		12	-448
Fore	C	2309	????	B62058A-7		De Po Ni He Co		900		G7 V M5 V	{ -1 }	(643+0)	[4445]		8	72
Fore	C	2310	????	E583513-5		Ni Pr Co		830		A0 V	{ -3 }	(540+1)	[5212]		8	20
Fore	D	2501	????	B964563-7		Ag Ni Pr		300		G0 VI	{ +0 }	(545+2)	[4596]		11	200
Fore	D	2502	????	A647500-B	N	Ag Ni		100		K1 V	{ +2 }	(548-3)	[278C]		7	-480
Fore	D	2602	????	X799566-2		Ni	R	500		M4 III BD M9 VI	{ -3 }	(B42-1)	[3251]		6	-88
Fore	D	2603	????	A110578-D		Ni		400		A1 V	{ +1 }	(746+0)	[662G]		9	168
Fore	D	2607	????	D140347-7	S	Lo De Po Co		230		K9 V M8 VI	{ -3 }	(721+3)	[3153]		8	42
Fore	D	2608	????	C524103-7		Lo Co		710		M8 V	{ -2 }	(701-1)	[1143]		14	-7
Fore	D	2610	????	E87A566-9		Wa Ni Co		400		F0 IV	{ -2 }	(741+0)	[434A]		5	28
Fore	D	2710	????	B6A9105-B	S	Fl Lo Sa		301		K1 V DM DM	{ +1 }	(801+0)	[229B]		9	8
Fore	D	2805	????	C533443-9		Po Ni Sa		420		G0 V	{ -1 }	(734+0)	[936B]		8	84
Fore	D	2807	????	C520237-6		Lo De Po He		700		F8 III K1 V	{ -2 }	(711-3)	[1181]		8	-21
Fore	D	2808	????	D650579-4		De Po Ni		600		K4 V	{ -3 }	(740+0)	[1254]		6	28
